ukhoId,ukhoName,ukhoLocation,gmaAddress,gmaLatitude,gmaLongitude,gmaCity,gmaCountry,gmaStatus
3443,Ammassalik,Greenland East Coast,,,,,,new
3972A,Alphonse Island,Seychelles,,,,,,new
5384,Ampenan,Lombok,,,,,,new
1449,Alte Weser Lighthouse,Germany,,,,,,new
1425,Amrum-Hafen,Germany,,,,,,new
4799,Alur Sembilan,Sumatera North East Coast,,,,,,new
2373,AMUAY,Venezuela,,,,,,new
2579,Alvarado,Mexico (Gulf),,,,,,new
8478,Amukta Island,Aleutian Islands,,,,,,new
1255,Alverstraumen,Norway,,,,,,new
7157,AN HSU (BAY ISLAND),China,,,,,,new
4543,Ama,Burma,,,,,,new
7182,An-P'ing Kang,T'ai-Wan,,,,,,new
7846,Amagasaki,Japan Honshu South Coast,,,,,,new
9149,Anacortes,United States,,,,,,new
9449,Amapala,Honduras,,,,,,new
8369,Anadyr,Siberia,,,,,,new
4350,Ambheta,India West Coast,,,,,,new
7862,Anaga Ura,Japan Honshu South Coast,,,,,,new
5625,Ambitle Island,Bismarck Archipelago,,,,,,new
8044B,Anamizu,Japan Honshu West Coast,,,,,,new
206,Amble,England,,,,,,new
3873,Anarontsangana,Madagascar,,,,,,new
5439,AMBON,The Molucca Islands,,,,,,new
5735,Anatom,Vanuatu,,,,,,new
5726,Ambrym Island,Vanuatu,,,,,,new
8570,Anchorage (Knik Arm),Alaska,,,,,,new
5373,Ambunten,Madura,,,,,,new
1889,ANCONA,Italy,,,,,,new
5758,Amedee Lighthouse,New Caledonia,,,,,,new
1231,Andalsnes,Norway,,,,,,new
8799,American Bay,Prince of Wales Island,,,,,,new
1177,Andenes,Norway,,,,,,new
6154,American River,Australia South Coast,,,,,,new
8494,Anderson Bay,Aleutian Islands,,,,,,new
3871,Andoany (Hellville),Madagascar,,,,,,new
7510,Anmado,Korea West Coast,,,,,,new
4532,Andrew Bay,Burma,,,,,,new
2620A,Anna Maria,United States,,,,,,new
3916,Androka,Madagascar,,,,,,new
426,Annan Waterfoot,Scotland,,,,,,new
4400A,Androth Island,Lakshadweep,,,,,,new
2712,Annapolis,United States,,,,,,new
2460,Anegada,Leeward Islands,,,,,,new
2902,Annapolis Royal,Canada,,,,,,new
7945A,Anesaki,Japan Honshu South Coast,,,,,,new
9315,Ano Nuevo Island,United States,,,,,,new
5635,Anewa Bay,Bismarck Archipelago,,,,,,new
2005,Anse Betsy,Antarctica,,,,,,new
4076,Anfile Bay,Eritrea,,,,,,new
1642,Anse De Feunteun Aod,France,,,,,,new
4719,Angler Bank,Singapore,,,,,,new
1628B,Anse De Primel,France,,,,,,new
3843,Angoche (Canal Do Sul),Mozambique,,,,,,new
6317B,Anson Bay,Australia North Coast,,,,,,new
9801,Angostura Guia,Chile,,,,,,new
233,Anstruther Easter,Scotland,,,,,,new
9772,Angostura Inglesa,Chile,,,,,,new
1581B,Antifer (Le Havre),France,,,,,,new
9811,Angostura Kirke,Chile,,,,,,new
2994,Antigonish,Canada,,,,,,new
3466,Angra Do Heroismo,Azores,,,,,,new
2521,Antilla,Cuba,,,,,,new
2197,Angra Dos Reis,Brazil,,,,,,new
6535,Antipodes Islands,New Zealand South Island,,,,,,new
4371,Angria Bank,India West Coast,,,,,,new
9610,Antofagasta,Chile,,,,,,new
7498,Anheung,Korea West Coast,,,,,,new
2191C,Antonina,Brazil,,,,,,new
4984,Anilao,Philippine Islands,,,,,,new
3948,ANTSIRANANA (DIEGO SUAREZ),Madagascar,,,,,,new
4946,Anini-Y,Philippine Islands,,,,,,new
1539,ANTWERP (PROSPERPOLDER),Belgium,,,,,,new
6516,Anita Bay,New Zealand South Island,,,,,,new
1543,Antwerpen,Belgium,,,,,,new
8043B,Ao,Japan Honshu West Coast,,,,,,new
0338A,Applecross,Scotland,,,,,,new
4637,Ao Kaulak,Thailand West Coast,,,,,,new
536,Appledore,England,,,,,,new
6896,Ao Muang Trat,Thailand,,,,,,new
4244,Ar Ru'ays,Qatar,,,,,,new
4640,Ao Nang (Krabi),Thailand West Coast,,,,,,new
4221B,Ar Ru'ays (United Arab Emirates),United Arab Emirates,,,,,,new
6889,Ao Sattahip,Thailand,,,,,,new
2225,ARACAJU,Brazil,,,,,,new
7868,Ao Shima,Japan Shikoku North Coast,,,,,,new
6335A,Arafura Sea,Australia North Coast,,,,,,new
7798,Aohama,Japan Kyushu North Coast,,,,,,new
241,Arbroath,Scotland,,,,,,new
7159C,Aojiao,China,,,,,,new
1691,Arcachon (Eyrac),France,,,,,,new
7829B,Aoki,Japan Honshu South Coast,,,,,,new
6361,Archer River,Australia North Coast,,,,,,new
8017,Aomori,Japan Honshu East Coast,,,,,,new
3319,Arctic Bay,Canadian Arctic,,,,,,new
8143,Aonae,Japan Hokkaido West Coast,,,,,,new
0371B,Ardchattan Point,Scotland,,,,,,new
6370,Aotea Harbour,New Zealand North Island,,,,,,new
631,Ardglass,Northern Ireland,,,,,,new
2614,Apalachicola,United States,,,,,,new
2041A,Ardley Cove,Antarctica,,,,,,new
3636,APAPA,Nigeria,,,,,,new
378,Ardnave Point,Scotland,,,,,,new
5004,Aparri,Philippine Islands,,,,,,new
410,Ardrossan,Scotland,,,,,,new
6684,Apia,Samoa Islands,,,,,,new
6165,Ardrossan (S. Australia),Australia South Coast,,,,,,new
4934,Apo Island,Philippine Islands,,,,,,new
2239,Areia Branca (Salineiro Terminal),Brazil,,,,,,new
8419,Apokak,Alaska,,,,,,new
9288,Arena Cove,United States,,,,,,new
6081,Apollo Bay,Australia East Coast,,,,,,new
1290,Arendal,Norway,,,,,,new
7004,Apowan,Vietnam,,,,,,new
3159,ARGENTIA,Newfoundland,,,,,,new
1399,Arhus,Denmark,,,,,,new
0074B,Arundel,England,,,,,,new
9594,Arica,Chile,,,,,,new
6569,Arutua,Tuamoto (Low) Archipelago,,,,,,new
2960,Arichat,Canada,,,,,,new
1820,Arzew,Algeria,,,,,,new
3199,Ariege Bay,Newfoundland,,,,,,new
1993,As Sallum,Egypt,,,,,,new
7625,Arikawa,Japan,,,,,,new
4288,Asaluyeh,Iran,,,,,,new
1045,ARKHANGEL'SK,Russia,,,,,,new
8016,Asamushi,Japan Honshu East Coast,,,,,,new
611,ARKLOW,Ireland,,,,,,new
6689,Asau Harbour,Samoa Islands,,,,,,new
1376,Arkona,Germany,,,,,,new
3770,Ascension Island,Mid South Atlantic Islands,,,,,,new
8870,Armentieres Channel,Graham Island,,,,,,new
4072,Aseb,Eritrea,,,,,,new
4357A,Arnalapada,India West Coast,,,,,,new
4263,ASH SHUWAYKH,Kuwait,,,,,,new
837,Arngerdharseyri,Iceland,,,,,,new
4170A,Ash Shuwaymiyah,Oman,,,,,,new
6186,Arno Bay,Australia South Coast,,,,,,new
1990,Ashdod,Israel,,,,,,new
3158A,Arnold's Cove,Newfoundland,,,,,,new
3307,Ashe Inlet,Labrador,,,,,,new
0440A,Arnside,England,,,,,,new
7621,Ashibe,Japan,,,,,,new
6750,Arorae,Kiribati,,,,,,new
6274,Ashmore Reef (West Islet),Australia North Coast,,,,,,new
1657A,Arradon,France,,,,,,new
3504,Asilah,Morocco,,,,,,new
1747,Arrifana,Portugal,,,,,,new
5450,Asimiro,Halmahera,,,,,,new
401,Arrochar,Scotland,,,,,,new
1242,Askvoll,Norway,,,,,,new
1594,Arromanches,France,,,,,,new
3977,Assomption Island,Seychelles,,,,,,new
2041B,Artigas,Antarctica,,,,,,new
9228,Astoria (Tongue Point),United States,,,,,,new
6455,Astrolabe Road,New Zealand South Island,,,,,,new
3619,Axim,Ghana,,,,,,new
4105,At Tur,Egypt,,,,,,new
1753A,Ayamonte,Spain,,,,,,new
2205,ATAFONA,Brazil,,,,,,new
1950,Aydincik Koyu,Turkey,,,,,,new
5413,Atapupu,Timor,,,,,,new
958,Ayon Island,Russia,,,,,,new
9586,Atico,Peru,,,,,,new
413,Ayr,Scotland,,,,,,new
5026,Atimonan,Philippine Islands,,,,,,new
7987,Ayukawa,Japan Honshu East Coast,,,,,,new
2736,Atlantic City,United States,,,,,,new
1968,Ayvalik,Turkey,,,,,,new
2234,Atol Das Rocas,Brazil,,,,,,new
4249,Az Zallaq,Bahrain,,,,,,new
6400,AUCKLAND,New Zealand North Island,,,,,,new
5516,Babo,Papua,,,,,,new
1643,Audierne,France,,,,,,new
5009,Babuyan Island,Philippine Islands,,,,,,new
5768,Aue Bay,New Caledonia,,,,,,new
2860,Back Bay,Canada,,,,,,new
5692,Auki Harbour,Solomon Islands,,,,,,new
4953,Bacolod,Philippine Islands,,,,,,new
2992,AULDS COVE,Canada,,,,,,new
3635A,Badagry Creek,Nigeria,,,,,,new
1657,Auray,France,,,,,,new
329,Badcall Bay,Scotland,,,,,,new
6345B,Auster Point,Australia North Coast,,,,,,new
1157,Badderen,Norway,,,,,,new
885,Austervag,Svalbard,,,,,,new
6243B,Badjirrajirra,Australia North Coast,,,,,,new
9354A,AVALON,United States,,,,,,new
3322,Baffin,Canadian Arctic,,,,,,new
1710,Aviles,Spain,,,,,,new
3600,Baffu Bay,Liberia,,,,,,new
8034,Awa Shima (Honshu),Japan Honshu West Coast,,,,,,new
4002,Bagamoyo,Tanzania,,,,,,new
7882,Awashima,Japan Shikoku North Coast,,,,,,new
4792,Bagan,Sumatera North East Coast,,,,,,new
4678,Bagan Datuk,Peninsular Malaysia West Coast,,,,,,new
9534,Bahia De Caraquez,Ecuador,,,,,,new
4785,Bagan Si Api Api,Sumatera North East Coast,,,,,,new
9425,Bahia De Chamela,Mexico,,,,,,new
4975,Bagatao Island,Philippine Islands,,,,,,new
